filename,rows,columns,pixels,gpu_ms,cpu_ms,speedup
image_000.png,50,50,2500,111.6181,0.0094,0.0001
image_001.png,110,110,12100,0.0360,0.0449,1.2448
image_002.png,170,220,37400,0.0373,0.1365,3.6608
image_003.png,200,330,66000,0.0460,0.3026,6.5713
image_004.png,310,440,136400,0.0646,0.5132,7.9393
image_005.png,420,500,210000,0.0827,0.7846,9.4845
image_006.png,250,260,65000,0.0454,0.2890,6.3592
image_007.png,110,170,18700,0.0329,0.0658,2.0008
image_008.png,70,80,5600,0.0396,0.0203,0.5137
image_009.png,100,140,14000,0.0299,0.0495,1.6569
image_010.png,160,200,32000,0.0339,0.1573,4.6360
image_011.png,220,310,68200,0.0489,0.2912,5.9558
image_012.png,300,420,126000,0.0580,0.4371,7.5300
image_013.png,410,530,217300,0.0972,0.8675,8.9238
image_014.png,270,290,78300,0.0548,0.2909,5.3137
image_015.png,100,150,15000,0.0290,0.0278,0.9585
image_016.png,60,60,3600,0.0265,0.0067,0.2522
image_017.png,120,120,14400,0.0327,0.0623,1.9041
image_018.png,150,230,34500,0.0338,0.1431,4.2359
image_019.png,210,340,71400,0.0566,0.2569,4.5402
image_020.png,320,400,128000,0.0653,0.4562,6.9843
image_021.png,400,510,204000,0.0784,1.7045,21.7503
image_022.png,260,270,70200,0.0492,0.2646,5.3799
image_023.png,120,180,21600,0.0337,0.0910,2.6988
image_024.png,50,90,4500,0.0313,0.0278,0.8869
image_025.png,110,100,11000,0.0299,0.0408,1.3637
image_026.png,170,210,35700,0.0404,0.1304,3.2257
image_027.png,200,320,64000,0.0468,0.2731,5.8372
image_028.png,310,430,133300,0.0627,0.2452,3.9119
image_029.png,420,540,226800,0.0830,0.7952,9.5800
image_030.png,250,250,62500,0.0446,0.2540,5.6942
image_031.png,110,160,17600,0.0355,0.0694,1.9546
image_032.png,70,70,4900,0.0425,0.0173,0.4066
image_033.png,100,130,13000,0.0319,0.0447,1.4018
image_034.png,160,240,38400,0.0349,0.1308,3.7505
image_035.png,220,300,66000,0.0481,0.2260,4.6966
image_036.png,300,410,123000,0.0576,0.4854,8.4321
image_037.png,410,520,213200,0.0836,0.8262,9.8774
image_038.png,270,280,75600,0.0514,0.3096,6.0208
image_039.png,100,190,19000,0.0342,0.0696,2.0321
image_040.png,60,50,3000,0.0291,0.0111,0.3804
image_041.png,120,110,13200,0.0314,0.0555,1.7651
image_042.png,150,220,33000,0.0444,0.1217,2.7381
image_043.png,210,330,69300,0.0468,0.2829,6.0431
image_044.png,320,440,140800,0.0642,0.5246,8.1684
image_045.png,400,500,200000,0.0859,0.7805,9.0912
image_046.png,260,260,67600,0.0622,0.2539,4.0807
image_047.png,120,170,20400,0.0356,0.0768,2.1537
image_048.png,50,80,4000,0.0282,0.0155,0.5500
image_049.png,110,140,15400,0.0438,0.0573,1.3080
image_050.png,170,200,34000,0.0326,0.1354,4.1569
image_051.png,200,310,62000,0.0396,0.1228,3.0983
image_052.png,310,420,130200,0.0580,0.2374,4.0902
image_053.png,420,530,222600,0.0826,0.4050,4.9034
image_054.png,250,290,72500,0.0443,0.1571,3.5446
image_055.png,110,150,16500,0.0270,0.0726,2.6902
image_056.png,70,60,4200,0.0253,0.0078,0.3084
image_057.png,100,120,12000,0.0253,0.0357,1.4130
image_058.png,160,230,36800,0.0384,0.0676,1.7593
image_059.png,220,340,74800,0.0411,0.1792,4.3589
image_060.png,300,400,120000,0.0600,0.2499,4.1620
image_061.png,410,510,209100,0.0811,0.3855,4.7556
image_062.png,270,270,72900,0.0398,0.1449,3.6401
image_063.png,100,180,18000,0.0251,0.0332,1.3247
image_064.png,60,90,5400,0.0251,0.0103,0.4108
image_065.png,120,100,12000,0.0245,0.0226,0.9206
image_066.png,150,210,31500,0.0250,0.0579,2.3201
image_067.png,210,320,67200,0.0525,0.1483,2.8224
image_068.png,320,430,137600,0.0756,0.2580,3.4140
image_069.png,400,540,216000,0.0738,0.4446,6.0228
image_070.png,260,250,65000,0.0422,0.1192,2.8239
image_071.png,120,160,19200,0.0264,0.0355,1.3457
image_072.png,50,70,3500,0.0255,0.0070,0.2747
image_073.png,110,130,14300,0.0267,0.0284,1.0662
image_074.png,170,240,40800,0.0558,0.0887,1.5897
image_075.png,200,300,60000,0.0380,0.1237,3.2607
image_076.png,310,410,127100,0.0610,0.2745,4.4980
image_077.png,420,520,218400,0.0745,0.3973,5.3331
image_078.png,250,280,70000,0.0434,0.1514,3.4910
image_079.png,110,190,20900,0.0309,0.0455,1.4748
image_080.png,70,50,3500,0.0260,0.0078,0.2999
image_081.png,100,110,11000,0.0290,0.0245,0.8451
image_082.png,160,220,35200,0.0291,0.0765,2.6298
image_083.png,220,330,72600,0.0425,0.1570,3.6970
image_084.png,300,440,132000,0.0621,0.3510,5.6536
image_085.png,410,500,205000,0.0719,0.4203,5.8478
image_086.png,270,260,70200,0.0418,0.1285,3.0757
image_087.png,100,170,17000,0.0257,0.0316,1.2268
image_088.png,60,80,4800,0.0248,0.0093,0.3738
image_089.png,120,140,16800,0.0259,0.0313,1.2100
image_090.png,150,200,30000,0.0252,0.0553,2.1966
image_091.png,210,310,65100,0.0375,0.1190,3.1691
image_092.png,320,420,134400,0.0577,0.2503,4.3360
image_093.png,400,530,212000,0.0758,0.3856,5.0862
image_094.png,260,290,75400,0.0412,0.2066,5.0155
image_095.png,120,150,18000,0.0260,0.0334,1.2824
image_096.png,50,60,3000,0.0248,0.0056,0.2261
image_097.png,110,120,13200,0.0260,0.0248,0.9531
image_098.png,170,230,39100,0.0274,0.0718,2.6196
image_099.png,200,340,68000,0.0393,0.1243,3.1649
